Session_ID,Timestamp,Source_Log,Vehicle_Speed_kmh,Speed_mps,Accel_X_mps2,Accel_Y_mps2,Accel_Z_mps2,Altitude_m,Road_Grade_pct,Heading_deg,Pitch_deg,Roll_deg,Aero_Force_N,Rolling_Resistance_N,Grade_Force_N,Inertial_Force_N,Estimated_Road_Load_N,Estimated_Wheel_Power_kW,Estimated_Wheel_Torque_Nm,Estimated_Motor_Torque_Nm,Battery_Voltage_V,Battery_Current_A,Battery_Power_kW,Available_Charge_Power_kW,Available_Discharge_Power_kW,Battery_SOC_pct,SOC_Display_pct,Battery_SOH_pct,Battery_Max_Temp_C,Battery_Min_Temp_C,Battery_Temp_C,Battery_Temp_Spread_C,Max_Cell_Voltage_V,Min_Cell_Voltage_V,Cell_Voltage_Spread_V,Ambient_Temp_C,Distance_Total_km,Distance_Trip_km,TPMS_FL,TPMS_FR,TPMS_RL,TPMS_RR,TPMS_Avg,Latitude_deg,Longitude_deg,Drive_Context,Estimated_Powertrain_Efficiency_pct,Data_Quality_Flag,Battery_Power_Calculated_kW,TPMS_Avg_Calculated,Cal_cell_voltage_spread,Cell_Spread_Difference,Battery_Temp_Spread_Calculated_C,Battery_Temp_Spread_Difference,Speed_Calculated_mps,Speed_Difference_mps,Driving_Mode,Driving_Behaviour,Road_Load_Calculated_N,Road_Load_Difference_N,Dominant_Road_Load_Component,SOC_State,Battery_Temp_State,Cell_Voltage_Balance_State
EV6_628BDF90,2022-05-23 19:24:50+00:00,00000001-628BDF90,0.8684,0.2412,0.1148,0.8163,10.051,98.44,15.0,21.66,-0.88,1.14,0.0224,227.0143,2837.6787,223.852,3288.5674,0.7933,1019.4559,124.3239,780.9,3.1,2.4208,147.32,277.0,93.5,96.0,100.0,20.0,18.0,18.0,2.0,4.06,4.06,0.0,14.0,287.0,2.4,40.2,40.6,40.0,40.2,40.25,56.0713,10.1607,Stop_or_Crawl,32.7693,OK,2.42,40.25,0.0,0.0,2.0,0.0,0.2412222222222222,-2.222222222220127e-05,Crawl,Coasting,3288.5674,0.0,Grade_Force_N,Very High,Normal,Low
EV6_628BDF90,2022-05-23 19:24:55+00:00,00000001-628BDF90,2.9176,0.8104,0.2245,-0.1429,10.0485,98.1,15.0,78.74,-2.76,-0.02,0.2529,227.0143,2837.6787,437.7551,3502.701,2.8387,1085.8373,132.4192,,,,,,,,,,,,,,,,,287.0,8.6,,,,,,56.0713,10.1608,Stop_or_Crawl,,OK,,,,,,,0.8104444444444445,-4.444444444451357e-05,Crawl,Coasting,3502.7009999999996,4.547473508864641e-13,Grade_Force_N,Unknown,Unknown,Unknown
EV6_628BE0B8,2022-05-23 19:24:55+00:00,00000002-628BE0B8,,,,,,,-15.0,,,,0.0,227.0143,-2837.6787,0.0,-2610.6644,-0.0,-809.306,-98.6958,779.6,13.1,10.2128,,,93.5,,,20.0,18.0,18.0,2.0,4.06,4.04,0.02,,,,,,,,,,,,-0.0,OK,10.21,,0.0199999999999995,4.2674197509029455e-16,2.0,0.0,,,Unknown,Unknown,-2610.6644,0.0,Grade_Force_N,Very High,Normal,Low
EV6_628BE0B8,2022-05-23 19:25:00+00:00,00000002-628BE0B8,6.862,1.9061,0.035,0.5525,10.03,96.66,-15.0,111.08,-3.2,-0.34,1.3987,227.0143,-2837.6787,68.25,-2541.0157,-4.8435,-787.7149,-96.0628,780.3,6.2,4.8379,147.32,277.0,93.5,96.0,100.0,20.0,18.0,18.0,2.0,4.06,4.06,0.0,,287.0,28.8,40.2,40.6,40.0,40.2,40.25,56.0713,10.1611,Urban,-100.1157,OK,4.84,40.25,0.0,0.0,2.0,0.0,1.906111111111111,-1.1111111111183902e-05,Crawl,Coasting,-2541.0157,0.0,Grade_Force_N,Very High,Normal,Low
EV6_628BE0B8,2022-05-23 19:25:05+00:00,00000002-628BE0B8,8.9048,2.4736,-0.5816,0.5485,10.1862,94.24,-15.0,110.14,-3.8,-0.38,2.3555,227.0143,-2837.6787,-1134.1837,-3742.4926,-9.2573,-1160.1727,-141.4845,780.5,5.6,,147.32,277.0,93.5,96.0,100.0,,,18.0,,4.06,4.06,,14.0,287.0,68.0,40.2,40.6,40.0,40.2,40.25,56.0712,10.1618,Urban,,OK,4.37,40.25,0.0,,,,2.4735555555555555,4.444444444429152e-05,Crawl,Braking,-3742.4926,0.0,Grade_Force_N,Very High,Normal,Unknown
EV6_628BE0B8,2022-05-23 19:25:10+00:00,00000002-628BE0B8,8.8912,2.4698,-0.5153,0.6352,10.0995,91.78,-15.0,109.42,-2.54,0.04,2.3483,227.0143,-2837.6787,-1004.8469,-3613.1631,-8.9237,-1120.0806,-136.5952,780.7,5.0,3.9035,147.32,277.0,93.5,96.0,100.0,20.0,18.0,18.0,2.0,4.06,4.06,0.0,14.0,287.0,113.0,37.2,40.6,37.2,40.2,38.8,56.071,10.1624,Urban,-228.6079,OK,3.9,38.8,0.0,0.0,2.0,0.0,2.4697777777777774,2.222222222281189e-05,Crawl,Braking,-3613.163,-0.00010000000020227162,Grade_Force_N,Very High,Normal,Low
EV6_628BE0B8,2022-05-23 19:25:15+00:00,00000002-628BE0B8,6.6468,1.8463,-1.5434,0.7755,9.9541,90.3,-15.0,109.92,-2.8,1.34,1.3124,227.0143,-2837.6787,-3009.5663,-5618.9184,-10.3744,-1741.8647,-212.4225,781.1,0.3,0.2343,147.32,277.0,93.5,96.0,100.0,20.0,18.0,18.0,2.0,4.06,4.06,0.0,14.0,287.0,154.4,37.2,40.6,37.2,37.0,38.0,56.0709,10.1631,Urban,,OK,0.23,38.0,0.0,0.0,2.0,0.0,1.8463333333333327,-3.333333333310762e-05,Crawl,Braking,-5618.918299999999,-0.00010000000020227162,Inertial_Force_N,Very High,Normal,Low
EV6_628BE0B8,2022-05-23 19:25:20+00:00,00000002-628BE0B8,1.3378,0.3716,-0.5459,0.8699,10.0026,89.48,-15.0,109.68,-1.22,1.58,0.0532,227.0143,-2837.6787,-1064.5408,-3675.1521,-1.3657,-1139.2971,-138.9387,781.1,0.8,0.6249,147.32,277.0,93.5,96.0,100.0,20.0,18.0,18.0,2.0,4.06,4.06,0.0,,287.0,179.2,37.2,40.6,37.2,37.0,38.0,56.0709,10.1633,Stop_or_Crawl,,OK,0.62,38.0,0.0,0.0,2.0,0.0,0.3716111111111111,-1.1111111111128393e-05,Crawl,Braking,-3675.152,-9.999999974752427e-05,Grade_Force_N,Very High,Normal,Low
EV6_628BE0B8,2022-05-23 19:25:25+00:00,00000002-628BE0B8,4.9112,1.3642,1.6825,1.3525,10.0075,89.72,-5.2631,45.26,1.14,-0.76,0.7165,229.2367,-1005.4038,3280.875,2505.4244,3.418,776.6816,94.7173,779.7,13.1,10.2141,147.79,277.0,93.5,96.0,100.0,20.0,18.0,18.0,2.0,4.06,4.04,0.02,,287.0,191.4,37.2,40.6,37.2,37.0,38.0,56.0709,10.1635,Stop_or_Crawl,33.4632,OK,10.21,38.0,0.0199999999999995,4.2674197509029455e-16,2.0,0.0,1.3642222222222222,-2.222222222214576e-05,Crawl,Accelerating,2505.4244,0.0,Inertial_Force_N,Very High,Normal,Low
EV6_628BE0B8,2022-05-23 19:25:30+00:00,00000002-628BE0B8,10.9886,3.0524,0.551,0.5077,10.0077,90.0,-2.6426,22.88,-0.86,-0.18,3.5868,229.4739,-505.3442,1074.4898,802.2063,2.4486,248.6839,30.3273,774.9,48.2,37.3502,147.79,277.0,93.5,96.0,100.0,20.0,18.0,18.0,2.0,4.04,4.02,0.02,,287.0,229.8,37.2,40.6,37.2,37.0,38.0,56.0713,10.1638,Urban,6.5559,OK,37.35,38.0,0.0200000000000004,-4.614364446098307e-16,2.0,0.0,3.052388888888889,1.1111111111183902e-05,City,Accelerating,802.2063,0.0,Inertial_Force_N,Very High,Normal,Low
EV6_628BE0B8,2022-05-23 19:25:35+00:00,00000002-628BE0B8,12.3122,3.4201,-0.2347,0.4668,10.1148,89.1,0.0,25.55,-0.55,-0.35,4.503,229.554,0.0,-457.6531,-223.5961,-0.7647,-69.3148,-8.453,777.8,18.5,14.3893,147.79,277.0,93.5,96.0,100.0,20.0,18.0,18.0,2.0,4.04,4.04,0.0,,287.0,293.25,37.2,40.6,37.2,37.0,38.0,56.0718,10.1642,Urban,-5.3145,OK,14.39,38.0,0.0,0.0,2.0,0.0,3.420055555555556,4.444444444429152e-05,City,Coasting,-223.59609999999998,-2.842170943040401e-14,Inertial_Force_N,Very High,Normal,Low
EV6_628BE0B8,2022-05-23 19:25:40+00:00,00000002-628BE0B8,11.9068,3.3074,-0.0638,0.574,9.9923,89.1,0.0,27.64,-0.44,0.66,4.2113,229.554,0.0,-124.3622,109.4031,0.3618,33.915,4.136,779.1,10.2,7.9468,147.79,277.0,93.5,96.0,100.0,20.0,18.0,18.0,2.0,4.06,4.04,0.02,,287.0,350.8,37.2,40.6,37.2,37.0,38.0,56.0722,10.1646,Urban,4.5533,OK,7.95,38.0,0.0199999999999995,4.2674197509029455e-16,2.0,0.0,3.3074444444444446,-4.444444444473561e-05,City,Coasting,109.4031,0.0,Rolling_Resistance_N,Very High,Normal,Low
EV6_628BE0B8,2022-05-23 19:25:45+00:00,00000002-628BE0B8,12.533,3.4814,-0.0357,0.5204,10.2806,88.64,-2.6426,30.62,-0.26,-0.26,4.6659,229.4739,-505.3442,-69.6429,-340.8473,-1.1866,-105.6627,-12.8857,778.3,15.7,12.2193,148.27,277.0,93.5,95.5,100.0,20.0,18.0,18.0,2.0,4.04,4.04,0.0,,287.0,411.8,0.0,37.2,0.0,0.0,9.3,56.0727,10.1651,Urban,-9.711,OK,12.22,9.3,0.0,0.0,2.0,0.0,3.4813888888888886,1.1111111111183902e-05,City,Coasting,-340.8473,0.0,Grade_Force_N,Very High,Normal,Low
EV6_628BE0B8,2022-05-23 19:25:50+00:00,00000002-628BE0B8,12.21,3.3917,-0.551,0.7245,9.9898,88.74,-3.5315,29.22,-0.36,0.04,4.4285,229.411,-675.1427,-1074.4898,-1515.793,-5.1411,-469.8958,-57.3044,778.1,16.6,12.9165,148.27,277.0,93.5,95.5,100.0,20.0,18.0,18.0,2.0,4.04,4.04,0.0,,287.0,474.6,0.0,37.2,0.0,0.0,9.3,56.0732,10.1656,Urban,-39.8024,OK,12.92,9.3,0.0,0.0,2.0,0.0,3.3916666666666666,3.333333333355171e-05,City,Braking,-1515.7930000000001,2.2737367544323206e-13,Inertial_Force_N,Very High,Normal,Low
EV6_628BE0B8,2022-05-23 19:25:55+00:00,00000002-628BE0B8,7.3396,2.0388,-1.385,-0.11,9.9725,88.38,-3.5315,35.96,-1.82,0.2,1.6002,229.411,-675.1427,-2700.75,-3144.8815,-6.4117,-974.9133,-118.8919,780.2,0.3,0.2341,148.27,277.0,93.5,95.5,100.0,20.0,18.0,18.0,2.0,4.06,4.04,0.02,,287.0,525.6,37.4,37.2,37.2,0.0,27.95,56.0736,10.166,Urban,,OK,0.23,27.95,0.0199999999999995,4.2674197509029455e-16,2.0,0.0,2.038777777777778,2.2222222222367805e-05,Crawl,Braking,-3144.8815,0.0,Inertial_Force_N,Very High,Normal,Low
EV6_628BE0B8,2022-05-23 19:26:00+00:00,00000002-628BE0B8,5.9082,1.6412,-0.2628,2.3418,10.0153,87.16,-3.5315,47.34,-2.66,1.66,1.0369,229.411,-675.1427,-512.3724,-957.0673,-1.5707,-296.6908,-36.1818,779.3,9.4,7.3254,148.27,277.0,93.5,95.5,100.0,20.0,18.0,18.0,2.0,4.04,4.04,0.0,,287.0,557.0,37.4,37.2,37.2,37.0,37.2,56.0738,10.1664,Urban,-21.4419,OK,7.33,37.2,0.0,0.0,2.0,0.0,1.6411666666666669,3.333333333332966e-05,Crawl,Coasting,-957.0672,-0.00010000000008858478,Grade_Force_N,Very High,Normal,Low
EV6_628BE0B8,2022-05-23 19:26:05+00:00,00000002-628BE0B8,5.631,1.5642,0.0281,1.2296,9.9796,86.6,-4.4463,313.54,-1.16,0.66,0.9419,229.3274,-849.7168,54.7194,-564.7281,-0.8833,-175.0657,-21.3495,780.3,0.7,0.5462,148.27,277.0,93.5,95.5,100.0,20.0,18.0,18.0,2.0,4.06,4.06,0.0,,287.0,584.0,37.4,37.2,37.2,37.0,37.2,56.074,10.1664,Urban,,OK,0.55,37.2,0.0,0.0,2.0,0.0,1.5641666666666667,3.333333333332966e-05,Crawl,Coasting,-564.7281,0.0,Grade_Force_N,Very High,Normal,Low
EV6_628BE0B8,2022-05-23 19:26:05+00:00,00000002-628BE0B8,5.631,1.5642,0.0281,1.2296,9.9796,86.6,-4.4463,313.54,-1.16,0.66,0.9419,229.3274,-849.7168,54.7194,-564.7281,-0.8833,-175.0657,-21.3495,780.3,0.7,0.5462,148.27,277.0,93.5,95.5,100.0,20.0,18.0,18.0,2.0,4.06,4.06,0.0,,287.0,584.0,37.4,37.2,37.2,37.0,37.2,56.074,10.1664,Urban,,OK,0.55,37.2,0.0,0.0,2.0,0.0,1.5641666666666667,3.333333333332966e-05,Crawl,Coasting,-564.7281,0.0,Grade_Force_N,Very High,Normal,Low
EV6_628BE0B8,2022-05-23 19:26:10+00:00,00000002-628BE0B8,9.0682,2.5189,0.898,-0.0179,10.1173,86.04,-4.4463,340.9,-0.5,-0.96,2.4427,229.3274,-849.7168,1751.0204,1133.0738,2.8541,351.2529,42.8357,777.5,24.8,19.282,148.27,277.0,93.5,95.5,100.0,20.0,18.0,18.0,2.0,4.04,4.04,0.0,,287.6,616.6,37.4,37.4,37.2,37.0,37.25,56.0742,10.1661,Urban,14.8021,OK,19.28,37.25,0.0,0.0,2.0,0.0,2.518944444444444,-4.444444444429152e-05,Crawl,Accelerating,1133.0737000000001,9.999999974752427e-05,Inertial_Force_N,Very High,Normal,Low
EV6_628BE0B8,2022-05-23 19:26:15+00:00,00000002-628BE0B8,12.478,3.4661,-0.02,0.4,9.9375,85.9,-4.4463,342.9,-1.15,-0.625,4.6251,229.3274,-849.7168,-39.0,-654.7643,-2.2695,-202.9769,-24.7533,776.7,25.9,20.1165,148.27,277.0,93.5,95.5,100.0,20.0,18.0,18.0,2.0,4.04,4.02,0.02,14.0,288.0,675.5,37.2,37.4,37.2,37.0,37.2,56.0748,10.1658,Urban,-11.2817,OK,20.12,37.2,0.0200000000000004,-4.614364446098307e-16,2.0,0.0,3.466111111111111,-1.1111111111183902e-05,City,Coasting,-654.7643,0.0,Grade_Force_N,Very High,Normal,Low
EV6_628BE0B8,2022-05-23 19:26:20+00:00,00000002-628BE0B8,12.5456,3.4849,-0.4133,0.5332,10.0638,85.06,-3.4042,343.0,-0.98,-0.28,4.6753,229.4211,-650.8286,-805.8673,-1222.5996,-4.2606,-379.0059,-46.2202,779.0,6.1,4.7519,148.75,277.0,93.0,95.5,100.0,20.0,18.0,18.0,2.0,4.06,4.04,0.02,14.0,288.0,735.4,37.2,37.4,37.2,37.2,37.25,56.0753,10.1655,Urban,-89.6615,OK,4.75,37.25,0.0199999999999995,4.2674197509029455e-16,2.0,0.0,3.484888888888889,1.1111111111183902e-05,City,Coasting,-1222.5995,-9.999999997489795e-05,Inertial_Force_N,Very High,Normal,Low
EV6_628BE0B8,2022-05-23 19:26:25+00:00,00000002-628BE0B8,11.4212,3.1726,-0.5026,0.3393,10.0867,84.52,-1.601,343.54,-1.04,-0.54,3.8748,229.5246,-306.2294,-979.9745,-1052.8045,-3.3401,-326.3694,-39.8011,780.0,0.2,0.156,148.75,277.0,93.0,95.5,100.0,20.0,18.0,18.0,2.0,4.06,4.06,0.0,14.0,288.0,794.8,37.2,37.4,37.2,37.2,37.25,56.0758,10.1652,Urban,,OK,0.16,37.25,0.0,0.0,2.0,0.0,3.172555555555556,4.444444444429152e-05,City,Braking,-1052.8045,0.0,Inertial_Force_N,Very High,Normal,Low
EV6_628BE0B8,2022-05-23 19:26:30+00:00,00000002-628BE0B8,8.0948,2.2486,-0.8342,0.4745,10.1327,84.34,-1.0762,350.72,0.02,0.54,1.9464,229.5407,-205.8507,-1626.6582,-1601.0217,-3.6,-496.3167,-60.5264,780.2,0.2,0.156,148.75,277.0,93.0,95.5,100.0,20.0,18.0,18.0,2.0,4.06,4.06,0.0,14.0,288.0,846.0,37.2,37.4,37.2,37.2,37.25,56.0762,10.165,Urban,,OK,0.16,37.25,0.0,0.0,2.0,0.0,2.2485555555555554,4.444444444473561e-05,Crawl,Braking,-1601.0218,9.999999997489795e-05,Inertial_Force_N,Very High,Normal,Low
EV6_628BE0B8,2022-05-23 19:26:35+00:00,00000002-628BE0B8,5.3524,1.4868,-1.4133,0.301,9.9566,84.26,-1.601,145.96,-2.04,0.24,0.851,229.5246,-306.2294,-2755.8673,-2831.7211,-4.2101,-877.8336,-107.0529,779.0,10.7,8.3353,148.75,277.0,93.0,95.5,100.0,20.0,18.0,18.0,2.0,4.04,4.04,0.0,14.0,288.0,881.6,37.2,37.2,37.2,37.2,37.2,56.0765,10.165,Urban,-50.5098,OK,8.34,37.2,0.0,0.0,2.0,0.0,1.4867777777777778,2.222222222214576e-05,Crawl,Braking,-2831.7210999999998,-4.547473508864641e-13,Inertial_Force_N,Very High,Normal,Low
EV6_628BE0B8,2022-05-23 19:26:40+00:00,00000002-628BE0B8,8.0796,2.2443,3.2704,0.25,10.0893,84.18,-1.601,8.94,-0.54,-0.14,1.9391,229.5246,-306.2294,6377.2959,6302.5303,14.145,1953.7844,238.2664,780.1,1.7,1.3262,148.75,277.0,93.0,95.5,100.0,20.0,18.0,18.0,2.0,4.06,4.06,0.0,14.0,288.0,910.8,37.2,37.2,37.2,37.2,37.2,56.0768,10.165,Urban,1066.6037,OK,1.33,37.2,0.0,0.0,2.0,0.0,2.244333333333333,-3.333333333310762e-05,Crawl,Accelerating,6302.5302,0.00010000000020227162,Inertial_Force_N,Very High,Normal,Low
EV6_628BE0B8,2022-05-23 19:26:45+00:00,00000002-628BE0B8,17.778,4.9383,-1.215,0.5,9.95,84.16,-1.0762,12.38,-2.18,-0.6,9.3884,229.5407,-205.8507,-2369.25,-2336.1716,-11.5368,-724.2132,-88.3187,751.2,233.2,175.1798,149.7,277.0,93.0,95.5,100.0,20.0,18.0,18.0,2.0,3.92,3.9,0.02,14.0,288.0,988.2,37.2,37.2,37.2,37.2,37.2,56.0774,10.1653,Urban,-6.5857,OK,175.18,37.2,0.02,-1.7347234759768068e-17,2.0,0.0,4.938333333333333,-3.333333333266353e-05,City,Braking,-2336.1716,0.0,Inertial_Force_N,Very High,Normal,Low
EV6_628BE0B8,2022-05-23 19:26:50+00:00,00000002-628BE0B8,15.1764,4.2157,-0.6148,0.5765,9.801,81.64,-0.7129,11.7,-3.82,-0.26,6.8417,229.5482,-136.372,-1198.852,-1098.8342,-4.6323,-340.6386,-41.5413,778.1,0.3,0.2334,149.7,277.0,93.0,95.5,100.0,20.0,18.0,18.0,2.0,4.04,4.04,0.0,14.0,288.0,1066.2,37.2,37.2,37.2,37.2,37.2,56.0781,10.1656,Urban,,OK,0.23,37.2,0.0,0.0,2.0,0.0,4.2156666666666665,3.333333333355171e-05,City,Braking,-1098.8341,-9.999999997489795e-05,Inertial_Force_N,Very High,Normal,Low
EV6_628BE0B8,2022-05-23 19:26:55+00:00,00000002-628BE0B8,17.7288,4.9247,1.3724,1.0434,10.2985,78.32,-0.081,77.84,-1.6,-1.5,9.3365,229.5539,-15.4947,2676.2755,2899.6713,14.2799,898.8981,109.6217,778.7,0.6,0.4672,149.7,277.0,93.0,95.5,100.0,20.0,18.0,18.0,2.0,4.04,4.04,0.0,14.0,288.0,1146.0,37.2,37.2,37.2,37.2,37.2,56.0788,10.1658,Urban,,OK,0.47,37.2,0.0,0.0,2.0,0.0,4.924666666666666,3.333333333355171e-05,City,Accelerating,2899.6712,9.999999974752427e-05,Inertial_Force_N,Very High,Normal,Low
EV6_628BE0B8,2022-05-23 19:27:00+00:00,00000002-628BE0B8,26.5148,7.3652,0.8648,0.4923,9.8036,81.02,4.5911,356.78,1.52,-0.86,20.8835,229.3124,877.3365,1686.352,2813.8846,20.7249,872.3042,106.3786,749.8,232.9,174.6284,150.64,277.0,93.0,95.0,100.0,20.0,18.0,18.0,2.0,3.9,3.88,0.02,14.0,288.0,1262.8,37.2,37.2,37.2,37.2,37.2,56.0798,10.1658,Urban,11.868,OK,174.63,37.2,0.02,-1.7347234759768068e-17,2.0,0.0,7.365222222222222,-2.2222222222367805e-05,City,Accelerating,2813.8844,0.0001999999999497959,Inertial_Force_N,Very High,Normal,Low
EV6_628BE0B8,2022-05-23 19:27:05+00:00,00000002-628BE0B8,24.7782,6.8828,-1.5714,0.1276,10.398,82.6,5.181,216.08,0.36,-0.22,18.2376,229.2465,989.7799,-3064.2857,-1827.0217,-12.5751,-566.3767,-69.0703,774.5,0.2,0.1549,151.51,277.0,92.5,95.0,100.0,20.0,18.0,18.0,2.0,4.02,4.02,0.0,,288.0,1395.2,37.4,37.2,37.4,37.4,37.35,56.081,10.1657,Urban,,OK,0.15,37.35,0.0,0.0,2.0,0.0,6.882833333333332,-3.333333333266353e-05,City,Braking,-1827.0216999999998,-2.2737367544323206e-13,Inertial_Force_N,Very High,Normal,Low
